campus,building,floor,location,location_number,space_type,last_people_traffic,last_inspection_score,prev_people_traffic,prev_inspection_score,time_between_cleaning,people_traffic_diff
Compass HQ,2300 (CC1),1st Floor,100 WELLNESS CENTER,LOC0073819,Medical/Wellness,8,77,4,78,24,4
Compass HQ,2300 (CC1),1st Floor,1008B TR TRAINING ROOM,LOC0073820,Conference Room,10,86,5,93,4,5
Compass HQ,2300 (CC1),1st Floor,108A TRAINING ROOM,LOC0073807,Conference Room,6,88,9,85,4,-3
Compass HQ,2300 (CC1),1st Floor,150 HARDWARE TRANISITON,LOC0073808,Lab,9,84,2,99,24,7
Compass HQ,2300 (CC1),1st Floor,150 STORAGE,LOC0073816,Storage,26,77,29,72,24,-3
Compass HQ,2300 (CC1),1st Floor,1501 OPEN OFFICE,LOC0073818,Office Area,27,77,18,81,24,9
Compass HQ,2300 (CC1),1st Floor,1502-1517 OFFICE SPACE,LOC0073805,Office Area,13,91,8,83,24,5
Compass HQ,2300 (CC1),1st Floor,152 OFFICE,LOC0073801,Office,3,96,4,98,24,-1
Compass HQ,2300 (CC1),1st Floor,153 OFFICE,LOC0073815,Office,1,97,5,93,24,-4
Compass HQ,2300 (CC1),1st Floor,154 OFFICE,LOC0073802,Office,3,95,4,98,24,-1
Compass HQ,2300 (CC1),1st Floor,155 OFFICE,LOC0073822,Office,2,86,5,89,24,-3
Compass HQ,2300 (CC1),1st Floor,1550-1557 OFFICE SPACE,LOC0073809,Office Area,3,94,13,80,24,-10
Compass HQ,2300 (CC1),1st Floor,1558-1574 OFFICE SPACE,LOC0073821,Office Area,19,93,13,98,24,6
Compass HQ,2300 (CC1),1st Floor,156 OFFICE,LOC0073811,Office,5,94,1,95,24,4
Compass HQ,2300 (CC1),1st Floor,157 OFFICE,LOC0073823,Office,1,87,3,96,24,-2
Compass HQ,2300 (CC1),1st Floor,1ST FLR MEN'S RESTROOM,LOC0078478,Restroom,16,79,23,95,24,-7
Compass HQ,2300 (CC1),1st Floor,1st FLR WOMEN'S RESTROOM,LOC0078479,Restroom,70,95,16,88,24,54
Compass HQ,2300 (CC1),1st Floor,ELEVATOR 1,LOC0073812,Elevator,6,92,5,95,4,1
Compass HQ,2300 (CC1),1st Floor,ELEVATOR 2,LOC0073824,Elevator,3,90,5,91,4,-2
Compass HQ,2300 (CC1),1st Floor,ELEVATOR 3,LOC0073813,Elevator,3,97,5,96,4,-2
Compass HQ,2300 (CC1),1st Floor,ELEVATOR 4,LOC0073825,Elevator,4,97,4,91,4,0
Compass HQ,2300 (CC1),1st Floor,FILING CABINETS,LOC0073810,General,30,98,18,96,24,12
Compass HQ,2300 (CC1),1st Floor,FITNESS CENTER,LOC0073803,Gym/Workout,5,77,4,74,24,1
Compass HQ,2300 (CC1),1st Floor,FITNESS CENTER MEN'S LOCKER ROOM,LOC0078472,Restroom,28,100,71,96,24,-43
Compass HQ,2300 (CC1),1st Floor,FITNESS CENTER WOMEN'S LOCKER ROOM,LOC0078477,Restroom,71,83,7,78,24,64
Compass HQ,2300 (CC1),1st Floor,FREIGHT ELEVATOR LOBBY,LOC0073817,Lobby,17,73,25,80,24,-8
Compass HQ,2300 (CC1),1st Floor,MAIN LOBBY,LOC0073806,Lobby,27,95,6,81,24,21
Compass HQ,2300 (CC1),1st Floor,S1 STAIR 1,LOC0073804,Stairway,8,90,24,95,24,-16
Compass HQ,2300 (CC1),1st Floor,S2 STAIR 2,LOC0073814,Stairway,28,85,15,97,24,13
Compass HQ,2300 (CC1),2nd Floor,200 OFFICE,LOC0073834,Office,2,95,3,94,24,-1
Compass HQ,2300 (CC1),2nd Floor,201 HUDDLE ROOM,LOC0073847,Small Conf/Phone/Collab/Enclave,2,78,4,73,8,-2
Compass HQ,2300 (CC1),2nd Floor,202 OFFICE,LOC0073835,Office,1,89,4,85,24,-3
Compass HQ,2300 (CC1),2nd Floor,203 OFFICE,LOC0073848,Office,1,86,3,92,24,-2
Compass HQ,2300 (CC1),2nd Floor,206 STORAGE/DATA ROOM,LOC0073833,Electrical/Voice/Data Room,29,83,24,94,24,5
Compass HQ,2300 (CC1),2nd Floor,207 OFFICE,LOC0073849,Office,5,93,1,97,24,4
Compass HQ,2300 (CC1),2nd Floor,2101-2117 OPEN OFFICE,LOC0073830,Office Area,14,95,28,91,24,-14
Compass HQ,2300 (CC1),2nd Floor,2118-2127 OPEN OFFICE,LOC0073842,Office Area,2,86,17,89,24,-15
Compass HQ,2300 (CC1),2nd Floor,240 DATA CENTER (RESTRICTED AREA),LOC0073841,Electrical/Voice/Data Room,29,95,1,83,24,28
Compass HQ,2300 (CC1),2nd Floor,2400-2412 OPEN OFFICE,LOC0073840,Office Area,2,81,11,79,24,-9
Compass HQ,2300 (CC1),2nd Floor,2ND FLR COLLABORATION AREA,LOC0073843,Office Area,7,90,14,90,24,-7
Compass HQ,2300 (CC1),2nd Floor,2ND FLR ELECTRICAL ROOM,LOC0073831,Electrical/Voice/Data Room,10,81,2,73,24,8
Compass HQ,2300 (CC1),2nd Floor,2ND FLR ELEVATOR LOBBY,LOC0073845,Lobby,18,99,3,89,24,15
Compass HQ,2300 (CC1),2nd Floor,2ND FLR JANITOR'S CLOSET,LOC0073837,Janitor Room,18,94,27,85,24,-9
Compass HQ,2300 (CC1),2nd Floor,2ND FLR MEN'S RESTROOM,LOC0073827,Restroom,11,77,60,75,24,-49
Compass HQ,2300 (CC1),2nd Floor,2ND FLR RESTROOM VESTIBULE,LOC0073829,General,2,86,24,75,24,-22
Compass HQ,2300 (CC1),2nd Floor,2ND FLR WOMEN'S RESTROOM,LOC0073838,Restroom,24,75,31,84,24,-7
Compass HQ,2300 (CC1),2nd Floor,BREAK AREA,LOC0073836,Cafeteria/Breakroom,8,82,12,85,24,-4
Compass HQ,2300 (CC1),2nd Floor,ELEVATOR 1,LOC0073828,Elevator,3,99,6,97,4,-3
Compass HQ,2300 (CC1),2nd Floor,ELEVATOR 2,LOC0073839,Elevator,1,96,5,88,4,-4
Compass HQ,2300 (CC1),2nd Floor,ELEVATOR 3,LOC0073832,Elevator,4,95,5,92,4,-1
